time,To
2018-04-05,25.880625
2018-04-06,25.514097222222222
2018-04-07,25.662152777777777
2018-04-08,26.35013888888889
2018-04-09,26.525694444444444
2018-04-10,26.03048611111111
2018-04-11,24.144583333333333
2018-04-12,23.883333333333333
2018-04-13,24.314305555555556
2018-04-14,25.397638888888892
2018-04-15,25.87222222222222
2018-04-16,24.73534722222222
2018-04-17,27.040833333333335
2018-04-18,27.445277777777775
2018-04-19,26.96548611111111
2018-04-20,25.240694444444443
2018-04-21,26.853819444444444
2018-04-22,26.816736111111112
2018-04-23,23.728402777777777
2018-04-24,22.79201388888889
2018-04-25,23.55229166666667
2018-04-26,25.343055555555555
2018-04-27,25.396458333333335
2018-04-28,25.400625
2018-04-29,25.92638888888889
2018-04-30,24.052083333333332
2018-05-01,28.18777777777778
2018-05-02,27.490277777777777
2018-05-03,25.541805555555555
2018-05-04,26.876180555555557
2018-05-05,27.568125
2018-05-06,27.04875
2018-05-07,27.754236111111112
2018-05-08,27.463402777777777
2018-05-09,27.61090277777778
2018-05-10,27.48465277777778
2018-05-11,27.350694444444443
2018-05-12,27.273263888888888
2018-05-13,27.518472222222222
2018-05-14,28.22625
2018-05-15,27.97715277777778
2018-05-16,27.066805555555554
2018-05-17,25.016805555555557
2018-05-18,26.010347222222222
2018-05-19,26.406388888888888
2018-05-20,28.473888888888887
2018-05-21,27.28625
2018-05-22,26.004236111111112
2018-05-23,27.28840277777778
2018-05-24,24.44395833333333
2018-05-25,27.92298611111111
2018-05-26,27.643055555555556
2018-05-27,26.427013888888887
2018-05-28,25.228055555555557
2018-05-29,25.048055555555557
2018-05-30,24.851319444444446
2018-05-31,22.69486111111111
2018-06-01,27.599583333333335
2018-06-02,26.462430555555557
2018-06-03,26.240069444444444
2018-06-04,26.267847222222223
2018-06-05,26.153125000000003
2018-06-06,25.687013888888888
2018-06-07,23.395625
2018-06-08,23.686111111111114
2018-06-09,25.267083333333332
2018-06-10,24.811666666666667
2018-06-11,24.980138888888888
2018-06-12,23.531111111111112
2018-06-13,20.84277777777778
2018-06-14,21.219444444444445
2018-06-15,20.57201388888889
2018-06-16,21.991458333333334
2018-06-17,21.239166666666666
2018-06-18,19.321319444444445
2018-06-19,21.333125
2018-06-20,21.455555555555556
2018-06-21,22.441736111111112
2018-06-22,21.164236111111112
2018-06-23,20.51263888888889
2018-06-24,20.746944444444445
2018-06-25,21.888680555555553
2018-06-26,21.10638888888889
2018-06-27,22.154722222222222
2018-06-28,21.916180555555556
2018-06-29,22.758541666666666
2018-06-30,22.72277777777778
2018-07-01,22.04138888888889
2018-07-02,22.845277777777778
2018-07-03,22.621180555555554
2018-07-04,23.620208333333334
2018-07-05,24.313541666666666
2018-07-06,23.317430555555557
2018-07-07,22.733333333333334
2018-07-08,21.99597222222222
2018-07-09,22.817083333333333
2018-07-10,23.342222222222222
2018-07-11,22.372777777777777
2018-07-12,22.80013888888889
2018-07-13,24.554722222222225
2018-07-14,24.845
2018-07-15,24.01020833333333
2018-07-16,23.774722222222223
2018-07-17,23.941180555555558
2018-07-18,24.02409722222222
2018-07-19,24.462847222222223
2018-07-20,24.591944444444444
2018-07-21,25.094166666666666
2018-07-22,25.399652777777778
2018-07-23,25.298958333333335
2018-07-24,25.450625
2018-07-25,23.22048611111111
2018-07-26,25.566875
2018-07-27,23.6325
2018-07-28,22.996041666666667
2018-07-29,24.15451388888889
2018-07-30,24.810902777777777
2018-07-31,23.65597222222222
2018-08-01,22.244097222222223
2018-08-02,22.255
2018-08-03,20.99423611111111
2018-08-04,22.108194444444443
2018-08-05,22.865
